,pop_grid_pop,geometry,pop_grid_id
53,,"POLYGON ((312924.3318432038 8054073.812247231, 313808.8692998076 8054082.02116264, 313817.4102013549 8053159.735757492, 312932.9133669755 8053151.523453767, 312924.3318432038 8054073.812247231))",53
54,,"POLYGON ((313808.8692998076 8054082.02116264, 314693.4035141563 8054090.191127832, 314701.9037942933 8053167.909094928, 313817.4102013549 8053159.735757492, 313808.8692998076 8054082.02116264))",54
55,,"POLYGON ((314693.4035141563 8054090.191127832, 315577.9345016632 8054098.322143586, 315586.39416120003 8053176.043466857, 314701.9037942933 8053167.909094928, 314693.4035141563 8054090.191127832))",55
56,,"POLYGON ((315577.9345016632 8054098.322143586, 316462.46227774327 8054106.414210678, 316470.8813174864 8053184.13887405, 315586.39416120003 8053176.043466857, 315577.9345016632 8054098.322143586))",56
57,,"POLYGON ((316462.46227774327 8054106.414210678, 317346.9868578105 8054114.467329878, 317355.3652785626 8053192.195317284, 316470.8813174864 8053184.13887405, 316462.46227774327 8054106.414210678))",57
58,,"POLYGON ((317346.9868578105 8054114.467329878, 318231.50825727906 8054122.481501955, 318239.84605983854 8053200.212797323, 317355.3652785626 8053192.195317284, 317346.9868578105 8054114.467329878))",58
59,,"POLYGON ((318231.50825727906 8054122.481501955, 319116.0264915632 8054130.4567276705, 319124.3236767247 8053208.191314932, 318239.84605983854 8053200.212797323, 318231.50825727906 8054122.481501955))",59
60,,"POLYGON ((319116.0264915632 8054130.4567276705, 320000.541576075 8054138.393007788, 320008.7981446296 8053216.130870872, 319124.3236767247 8053208.191314932, 319116.0264915632 8054130.4567276705))",60
61,,"POLYGON ((266049.53825628816 8052660.4887933815, 266934.2289459988 8052670.767522832, 266944.9289559297 8051748.279722488, 266060.2789558182 8051737.996753471, 266049.53825628816 8052660.4887933815))",61
62,,"POLYGON ((266934.2289459988 8052670.767522832, 267818.91557715426 8052681.007239377, 267829.5748985065 8051758.523662517, 266944.9289559297 8051748.279722488, 266934.2289459988 8052670.767522832))",62
63,,"POLYGON ((267818.91557715426 8052681.007239377, 268703.59816517925 8052691.207943993, 268714.21679896925 8051768.728574537, 267829.5748985065 8051758.523662517, 267818.91557715426 8052681.007239377))",63
64,,"POLYGON ((268703.59816517925 8052691.207943993, 269588.27672549826 8052701.369637652, 269598.85467273847 8051778.894459519, 268714.21679896925 8051768.728574537, 268703.59816517925 8052691.207943993))",64
65,,"POLYGON ((269588.27672549826 8052701.369637652, 270472.95127353317 8052711.492321324, 270483.4885352326 8051789.021318432, 269598.85467273847 8051778.894459519, 269588.27672549826 8052701.369637652))",65
66,,"POLYGON ((270472.95127353317 8052711.492321324, 271357.621824708 8052721.575995973, 271368.1184018712 8051799.1091522435, 270483.4885352326 8051789.021318432, 270472.95127353317 8052711.492321324))",66
67,,"POLYGON ((271357.621824708 8052721.575995973, 272242.2883944456 8052731.620662563, 272252.7442880734 8051809.157961914, 271368.1184018712 8051799.1091522435, 271357.621824708 8052721.575995973))",67
68,,"POLYGON ((272242.2883944456 8052731.620662563, 273126.9509981687 8052741.62632205, 273137.3662092581 8051819.167748402, 272252.7442880734 8051809.157961914, 272242.2883944456 8052731.620662563))",68
69,,"POLYGON ((273126.9509981687 8052741.62632205, 274011.6096513 8052751.592975387, 274021.9841808443 8051829.138512663, 273137.3662092581 8051819.167748402, 273126.9509981687 8052741.62632205))",69
70,,"POLYGON ((274011.6096513 8052751.592975387, 274896.2643692606 8052761.5206235275, 274906.5982182488 8051839.070255646, 274021.9841808443 8051829.138512663, 274011.6096513 8052751.592975387))",70
71,,"POLYGON ((274896.2643692606 8052761.5206235275, 275780.9151674727 8052771.409267416, 275791.2083368902 8051848.962978298, 274906.5982182488 8051839.070255646, 274896.2643692606 8052761.5206235275))",71
72,,"POLYGON ((275780.9151674727 8052771.409267416, 276665.5620613587 8052781.258907996, 276675.81455218693 8051858.816681563, 275791.2083368902 8051848.962978298, 275780.9151674727 8052771.409267416))",72
73,,"POLYGON ((276665.5620613587 8052781.258907996, 277550.2050663377 8052791.069546206, 277560.41687955434 8051868.6313663805, 276675.81455218693 8051858.816681563, 276665.5620613587 8052781.258907996))",73
74,,"POLYGON ((277550.2050663377 8052791.069546206, 278434.8441978336 8052800.841182983, 278445.0153344122 8051878.407033686, 277560.41687955434 8051868.6313663805, 277550.2050663377 8052791.069546206))",74
75,,"POLYGON ((278434.8441978336 8052800.841182983, 279319.4794712648 8052810.573819256, 279329.6099321752 8051888.143684411, 278445.0153344122 8051878.407033686, 278434.8441978336 8052800.841182983))",75
76,,"POLYGON ((279319.4794712648 8052810.573819256, 280204.11090205266 8052820.267455957, 280214.2006882607 8051897.841319486, 279329.6099321752 8051888.143684411, 279319.4794712648 8052810.573819256))",76
77,,"POLYGON ((280204.11090205266 8052820.267455957, 281088.73850561795 8052829.922094007, 281098.78761808574 8051907.499939833, 280214.2006882607 8051897.841319486, 280204.11090205266 8052820.267455957))",77
78,,"POLYGON ((281088.73850561795 8052829.922094007, 281973.3622973793 8052839.537734328, 281983.37073706475 8051917.119546372, 281098.78761808574 8051907.499939833, 281088.73850561795 8052829.922094007))",78
79,,"POLYGON ((281973.3622973793 8052839.537734328, 282857.9822927572 8052849.114377837, 282867.9500606146 8051926.700140025, 281983.37073706475 8051917.119546372, 281973.3622973793 8052839.537734328))",79
80,,"POLYGON ((282857.9822927572 8052849.114377837, 283742.5985071707 8052858.652025446, 283752.5256041505 8051936.2417217, 282867.9500606146 8051926.700140025, 282857.9822927572 8052849.114377837))",80
81,,"POLYGON ((283742.5985071707 8052858.652025446, 284627.21095603926 8052868.150678066, 284637.09738308773 8051945.7442923095, 283752.5256041505 8051936.2417217, 283742.5985071707 8052858.652025446))",81
82,,"POLYGON ((284627.21095603926 8052868.150678066, 285511.8196547822 8052877.6103366, 285521.66541284206 8051955.2078527585, 284637.09738308773 8051945.7442923095, 284627.21095603926 8052868.150678066))",82
83,,"POLYGON ((285511.8196547822 8052877.6103366, 286396.4246188171 8052887.031001952, 286406.2297088269 8051964.632403949, 285521.66541284206 8051955.2078527585, 285511.8196547822 8052877.6103366))",83
84,,"POLYGON ((286396.4246188171 8052887.031001952, 287281.0258635628 8052896.41267502, 287290.7902864574 8051974.017946782, 286406.2297088269 8051964.632403949, 286396.4246188171 8052887.031001952))",84
85,,"POLYGON ((287281.0258635628 8052896.41267502, 288165.623404438 8052905.755356698, 288175.34716114844 8051983.364482148, 287290.7902864574 8051974.017946782, 287281.0258635628 8052896.41267502))",85
86,,"POLYGON ((288165.623404438 8052905.755356698, 289050.2172568588 8052915.059047878, 289059.9003483119 8051992.672010941, 288175.34716114844 8051983.364482148, 288165.623404438 8052905.755356698))",86
87,,"POLYGON ((289050.2172568588 8052915.059047878, 289934.8074362455 8052924.323749445, 289944.4498633643 8052001.940534048, 289059.9003483119 8051992.672010941, 289050.2172568588 8052915.059047878))",87
88,,"POLYGON ((289934.8074362455 8052924.323749445, 290819.39395801316 8052933.549462284, 290828.995721717 8052011.1700523505, 289944.4498633643 8052001.940534048, 289934.8074362455 8052924.323749445))",88
89,,"POLYGON ((290819.39395801316 8052933.549462284, 291703.9768375795 8052942.736187274, 291713.5379387839 8052020.360566731, 290828.995721717 8052011.1700523505, 290819.39395801316 8052933.549462284))",89
90,,"POLYGON ((291703.9768375795 8052942.736187274, 292588.55609036237 8052951.88392529, 292598.0765299788 8052029.512078064, 291713.5379387839 8052020.360566731, 291703.9768375795 8052942.736187274))",90
91,,"POLYGON ((292588.55609036237 8052951.88392529, 293473.131731777 8052960.992677204, 293482.61151071277 8052038.624587222, 292598.0765299788 8052029.512078064, 292588.55609036237 8052951.88392529))",91
92,,"POLYGON ((293473.131731777 8052960.992677204, 294357.70377724024 8052970.062443887, 294367.14289639913 8052047.698095074, 293482.61151071277 8052038.624587222, 293473.131731777 8052960.992677204))",92
93,,"POLYGON ((294357.70377724024 8052970.062443887, 295242.2722421681 8052979.093226201, 295251.67070245015 8052056.732602485, 294367.14289639913 8052047.698095074, 294357.70377724024 8052970.062443887))",93
94,,"POLYGON ((295242.2722421681 8052979.093226201, 296126.8371419774 8052988.085025007, 296136.19494427834 8052065.728110317, 295251.67070245015 8052056.732602485, 295242.2722421681 8052979.093226201))",94
95,,"POLYGON ((296126.8371419774 8052988.085025007, 297011.39849208225 8052997.037841164, 297020.7156372941 8052074.684619425, 296136.19494427834 8052065.728110317, 296126.8371419774 8052988.085025007))",95
96,,"POLYGON ((297011.39849208225 8052997.037841164, 297895.9563078986 8053005.951675525, 297905.2327969097 8052083.6021306645, 297020.7156372941 8052074.684619425, 297011.39849208225 8052997.037841164))",96
