fid,longitude,latitude,lon_min,lon_max,lat_min,lat_max,result
45,31.15631421,-17.60123187,31.15575638,31.15687204,-17.60164373,-17.60082,0
46,31.15734198,-17.60123187,31.15678415,31.15789981,-17.60164373,-17.60082,0
47,31.15836975,-17.60123187,31.15781192,31.15892758,-17.60164373,-17.60082,0
48,31.15939752,-17.60123187,31.15883968,31.15995535,-17.60164373,-17.60082,0
49,31.16042529,-17.60123187,31.15986745,31.16098312,-17.60164373,-17.60082,0
50,31.16145306,-17.60123187,31.16089522,31.16201089,-17.60164373,-17.60082,0
51,31.16248082,-17.60123187,31.16192299,31.16303866,-17.60164373,-17.60082,0
52,31.16350859,-17.60123187,31.16295076,31.16406643,-17.60164373,-17.60082,0
53,31.16453636,-17.60123187,31.16397852,31.16509421,-17.60164373,-17.60082,0
54,31.16556413,-17.60123187,31.16500629,31.16612198,-17.60164373,-17.60082,0
55,31.1665919,-17.60123187,31.16603406,31.16714975,-17.60164373,-17.60082,0
56,31.16761967,-17.60123187,31.16706183,31.16817752,-17.60164373,-17.60082,0
57,31.16864744,-17.60123187,31.16808959,31.16920529,-17.60164373,-17.60082,0
58,31.16967521,-17.60123187,31.16911736,31.17023306,-17.60164373,-17.60082,0
59,31.17070298,-17.60123187,31.17014513,31.17126083,-17.60164373,-17.60082,0
60,31.17173075,-17.60123187,31.1711729,31.1722886,-17.60164373,-17.60082,0
61,31.14201329,-17.6020556,31.14145548,31.1425711,-17.60246746,-17.60164373,0
62,31.14304106,-17.6020556,31.14248325,31.14359888,-17.60246746,-17.60164373,0
63,31.14406883,-17.6020556,31.14351102,31.14462665,-17.60246746,-17.60164373,0
64,31.14509661,-17.6020556,31.14453879,31.14565442,-17.60246746,-17.60164373,0
65,31.14612438,-17.6020556,31.14556656,31.1466822,-17.60246746,-17.60164373,0
66,31.14715215,-17.6020556,31.14659433,31.14770997,-17.60246746,-17.60164373,0
67,31.14817992,-17.6020556,31.1476221,31.14873775,-17.60246746,-17.60164373,0
68,31.1492077,-17.6020556,31.14864987,31.14976552,-17.60246746,-17.60164373,0
69,31.15023547,-17.6020556,31.14967764,31.15079329,-17.60246746,-17.60164373,0
70,31.15126324,-17.6020556,31.15070541,31.15182107,-17.60246746,-17.60164373,0
71,31.15229101,-17.6020556,31.15173319,31.15284884,-17.60246746,-17.60164373,0
72,31.15331878,-17.6020556,31.15276096,31.15387661,-17.60246746,-17.60164373,0
73,31.15434656,-17.6020556,31.15378873,31.15490439,-17.60246746,-17.60164373,0
74,31.15537433,-17.6020556,31.1548165,31.15593216,-17.60246746,-17.60164373,0
75,31.1564021,-17.6020556,31.15584427,31.15695994,-17.60246746,-17.60164373,0
76,31.15742987,-17.6020556,31.15687204,31.15798771,-17.60246746,-17.60164373,0
77,31.15845765,-17.6020556,31.15789981,31.15901548,-17.60246746,-17.60164373,0
78,31.15948542,-17.6020556,31.15892758,31.16004326,-17.60246746,-17.60164373,0
79,31.16051319,-17.6020556,31.15995535,31.16107103,-17.60246746,-17.60164373,0
80,31.16154096,-17.6020556,31.16098312,31.1620988,-17.60246746,-17.60164373,0
81,31.16256873,-17.6020556,31.16201089,31.16312658,-17.60246746,-17.60164373,0
82,31.16359651,-17.6020556,31.16303866,31.16415435,-17.60246746,-17.60164373,0
83,31.16462428,-17.6020556,31.16406643,31.16518212,-17.60246746,-17.60164373,0
84,31.16565205,-17.6020556,31.16509421,31.1662099,-17.60246746,-17.60164373,0
85,31.16667982,-17.6020556,31.16612198,31.16723767,-17.60246746,-17.60164373,0
86,31.1677076,-17.6020556,31.16714975,31.16826545,-17.60246746,-17.60164373,0
87,31.16873537,-17.6020556,31.16817752,31.16929322,-17.60246746,-17.60164373,0
88,31.16976314,-17.6020556,31.16920529,31.17032099,-17.60246746,-17.60164373,0
89,31.17079091,-17.6020556,31.17023306,31.17134877,-17.60246746,-17.60164373,0
90,31.17181868,-17.6020556,31.17126083,31.17237654,-17.60246746,-17.60164373,0
91,31.14210115,-17.60287933,31.14154333,31.14265896,-17.6032912,-17.60246746,0
92,31.14312892,-17.60287933,31.1425711,31.14368674,-17.6032912,-17.60246746,0
93,31.1441567,-17.60287933,31.14359888,31.14471452,-17.6032912,-17.60246746,0
94,31.14518447,-17.60287933,31.14462665,31.14574229,-17.6032912,-17.60246746,0
95,31.14621225,-17.60287933,31.14565442,31.14677007,-17.6032912,-17.60246746,0
96,31.14724002,-17.60287933,31.1466822,31.14779785,-17.6032912,-17.60246746,0
97,31.1482678,-17.60287933,31.14770997,31.14882562,-17.6032912,-17.60246746,0
98,31.14929557,-17.60287933,31.14873775,31.1498534,-17.6032912,-17.60246746,0
99,31.15032335,-17.60287933,31.14976552,31.15088118,-17.6032912,-17.60246746,0
100,31.15135112,-17.60287933,31.15079329,31.15190895,-17.6032912,-17.60246746,0
