,pop_grid_pop,geometry,pop_grid_id
72,,"POLYGON ((3459630.9740401744 -3631.159239648129, 3460660.772526356 -3631.4154068689063, 3460660.48217093 -4654.356232817057, 3459630.683813651 -4654.02790537491, 3459630.9740401744 -3631.159239648129))",72
73,,"POLYGON ((3460660.772526356 -3631.4154068689063, 3461690.643675219 -3631.6716878557913, 3461690.3531908537 -4654.684706072287, 3460660.48217093 -4654.356232817057, 3460660.772526356 -3631.4154068689063))",73
74,,"POLYGON ((3461690.643675219 -3631.6716878557913, 3462720.5875190315 -3631.9280826440513, 3462720.2969056843 -4655.013325185802, 3461690.3531908537 -4654.684706072287, 3461690.643675219 -3631.6716878557913))",74
75,191.89010620117188,"POLYGON ((3462720.5875190315 -3631.9280826440513, 3463750.6040900717 -3632.184591268977, 3463750.313347705 -4655.342090202837, 3462720.2969056843 -4655.013325185802, 3462720.5875190315 -3631.9280826440513))",75
76,160.49122619628906,"POLYGON ((3463750.6040900717 -3632.184591268977, 3464780.6934206286 -3632.441213765878, 3464780.4025492 -4655.671001168646, 3463750.313347705 -4655.342090202837, 3463750.6040900717 -3632.184591268977))",76
77,179.5067901611328,"POLYGON ((3464780.6934206286 -3632.441213765878, 3465810.8555429988 -3632.697950170091, 3465810.5645424705 -4656.000058128519, 3464780.4025492 -4655.671001168646, 3464780.6934206286 -3632.441213765878))",77
78,186.42123413085938,"POLYGON ((3465810.8555429988 -3632.697950170091, 3466841.090489492 -3632.9548005169686, 3466840.7993598217 -4656.329261127768, 3465810.5645424705 -4656.000058128519, 3465810.8555429988 -3632.697950170091))",78
79,193.9820556640625,"POLYGON ((3466841.090489492 -3632.9548005169686, 3467871.3982924237 -3633.211764841887, 3467871.1070335736 -4656.658610211735, 3466840.7993598217 -4656.329261127768, 3466841.090489492 -3632.9548005169686))",79
80,201.23248291015625,"POLYGON ((3467871.3982924237 -3633.211764841887, 3468901.778984123 -3633.4688431802456, 3468901.487596051 -4656.988105425789, 3467871.1070335736 -4656.658610211735, 3467871.3982924237 -3633.211764841887))",80
81,166.43690490722656,"POLYGON ((3468901.778984123 -3633.4688431802456, 3469932.232596929 -3633.726035567464, 3469931.941079596 -4657.317746815328, 3468901.487596051 -4656.988105425789, 3468901.778984123 -3633.4688431802456))",81
82,101.01292419433594,"POLYGON ((3469932.232596929 -3633.726035567464, 3470962.7591631897 -3633.983342038982, 3470962.467516556 -4657.647534425777, 3469931.941079596 -4657.317746815328, 3469932.232596929 -3633.726035567464))",82
83,108.06884765625,"POLYGON ((3470962.7591631897 -3633.983342038982, 3471993.3587152627 -3634.2407626302625, 3471993.066939287 -4657.977468302587, 3470962.467516556 -4657.647534425777, 3470962.7591631897 -3633.983342038982))",83
