grid_code,origin_lat,origin_lon,destination_name,dest_lat,dest_lon,min_duration,population
55712,11.974583486727273,8.5229166475,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,328.89,2480.78
87994,11.974583486727273,8.531249980807692,Maxcare Clinic,11.96792,8.54314,217.82,1756.7867
23116,11.974583486727273,8.539583314115385,Maxcare Clinic,11.96792,8.54314,104.04,1762.734
39660,11.974583486727273,8.547916647423076,Maxcare Clinic,11.96792,8.54314,181.79,1461.7905
44525,11.974583486727273,8.556249980730769,Maxcare Clinic,11.96792,8.54314,281.59,1365.9047
76638,11.974583486727273,8.564583314038462,Maxcare Clinic,11.96792,8.54314,211.34,1569.0332
20923,11.974583486727273,8.572916647346153,Maxcare Clinic,11.96792,8.54314,224.46,1583.5471
94858,11.966250153454546,8.472916647653847,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,521.56,3453.7798
53666,11.966250153454546,8.481249980961538,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,388.65,3504.4404
22145,11.966250153454546,8.48958331426923,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,471.25,2624.0703
21942,11.966250153454546,8.497916647576924,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,368.28,2739.99
90532,11.966250153454546,8.506249980884615,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,347.71,2791.323
48306,11.966250153454546,8.514583314192308,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,315.75,2620.7122
14721,11.966250153454546,8.5229166475,Maxcare Clinic,11.96792,8.54314,311.09,2275.0486
17586,11.966250153454546,8.531249980807692,Maxcare Clinic,11.96792,8.54314,167.49,2276.5784
52171,11.966250153454546,8.539583314115385,Maxcare Clinic,11.96792,8.54314,94.53,1513.1793
85872,11.966250153454546,8.547916647423076,Maxcare Clinic,11.96792,8.54314,77.26,1410.6996
86951,11.966250153454546,8.556249980730769,Maxcare Clinic,11.96792,8.54314,190.49,1375.4054
90862,11.966250153454546,8.564583314038462,Maxcare Clinic,11.96792,8.54314,273.73,1141.9211
90426,11.966250153454546,8.572916647346153,Maxcare Clinic,11.96792,8.54314,308.24,1076.0952
52781,11.957916820181818,8.472916647653847,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,568.99,3263.8442
40296,11.957916820181818,8.481249980961538,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,454.47,4207.6245
91052,11.957916820181818,8.48958331426923,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,478.89,3514.983
58243,11.957916820181818,8.497916647576924,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,379.17,4151.8516
72948,11.957916820181818,8.506249980884615,Mohammed Abdullahi Wase General Hospital,11.9909495,8.507711,401.5,2831.7937
78142,11.957916820181818,8.514583314192308,Maxcare Clinic,11.96792,8.54314,352.51,2119.6526
61421,11.957916820181818,8.5229166475,Maxcare Clinic,11.96792,8.54314,314.02,2663.107
59421,11.957916820181818,8.531249980807692,Maxcare Clinic,11.96792,8.54314,220.48,3140.638
62829,11.957916820181818,8.539583314115385,Maxcare Clinic,11.96792,8.54314,175.72,2226.7852
52376,11.957916820181818,8.547916647423076,Maxcare Clinic,11.96792,8.54314,100.85,1885.3033
98249,11.957916820181818,8.556249980730769,Aminu Kano Teaching Hospital,11.96629,8.54863,265.03,1839.7188
70579,11.957916820181818,8.564583314038462,Maxcare Clinic,11.96792,8.54314,301.43,809.1075
66517,11.957916820181818,8.572916647346153,Maxcare Clinic,11.96792,8.54314,432.08,642.2712
