,pop_grid_pop,geometry,pop_grid_id
67,,"POLYGON ((351971.7779735495 1032402.073267942, 352887.1042706521 1032398.5897535053, 352883.6094304053 1031477.0225131047, 351968.26137286576 1031480.5030287867, 351971.7779735495 1032402.073267942))",67
68,,"POLYGON ((352887.1042706521 1032398.5897535053, 353802.4275987021 1032395.1278614894, 353798.95451852976 1031473.563601231, 352883.6094304053 1031477.0225131047, 352887.1042706521 1032398.5897535053))",68
69,,"POLYGON ((353802.4275987021 1032395.1278614894, 354717.74797618494 1032391.6875915352, 354714.29665572674 1031470.1262928069, 353798.95451852976 1031473.563601231, 353802.4275987021 1032395.1278614894))",69
70,,"POLYGON ((354717.74797618494 1032391.6875915352, 355633.0654215849 1032388.2689432858, 355629.63586048293 1031466.7105874757, 354714.29665572674 1031470.1262928069, 354717.74797618494 1032391.6875915352))",70
71,,"POLYGON ((355633.0654215849 1032388.2689432858, 356548.3799533873 1032384.8719163868, 356544.97215128597 1031463.3164848835, 355629.63586048293 1031466.7105874757, 355633.0654215849 1032388.2689432858))",71
72,,"POLYGON ((356548.3799533873 1032384.8719163868, 357463.6915900763 1032381.4965104855, 357460.30554662214 1031459.9439846775, 356544.97215128597 1031463.3164848835, 356548.3799533873 1032384.8719163868))",72
73,,"POLYGON ((357463.6915900763 1032381.4965104855, 358379.000350136 1032378.1427252328, 358375.63606497785 1031456.5930865094, 357460.30554662214 1031459.9439846775, 357463.6915900763 1032381.4965104855))",73
74,,"POLYGON ((358379.000350136 1032378.1427252328, 359294.30625205033 1032374.8105602798, 359290.96372483915 1031453.2637900304, 358375.63606497785 1031456.5930865094, 358379.000350136 1032378.1427252328))",74
75,,"POLYGON ((359294.30625205033 1032374.8105602798, 360209.6093143027 1032371.5000152813, 360206.28854469187 1031449.9560948953, 359290.96372483915 1031453.2637900304, 359294.30625205033 1032374.8105602798))",75
76,,"POLYGON ((360209.6093143027 1032371.5000152813, 361124.9095553764 1032368.2110898942, 361121.6105430216 1031446.6700007614, 360206.28854469187 1031449.9560948953, 360209.6093143027 1032371.5000152813))",76
77,,"POLYGON ((290632.20827129297 1031762.9319100417, 291547.79741075385 1031758.0030043122, 291542.8480925315 1030836.1940627873, 290627.2371824856 1030841.1187215672, 290632.20827129297 1031762.9319100417))",77
