"origin_id","destination_id","duration_seconds","distance_km"
1,84,1350.65,25.8
1,85,1353.77,25.88
1,86,1356.89,25.95
1,87,1512.98,25.39
1,88,1507.95,25.37
1,89,1488.9,25.29
1,90,1470.96,25.22
1,91,1457.02,25.47
1,92,1448.13,25.39
1,93,1439.23,25.32
1,94,1430.33,25.24
1,95,1420.39,24.57
1,96,1412.28,24.51
1,97,1403.72,24.44
1,98,1456.7,24.39
1,99,1456.7,24.39
1,100,1456.7,24.39
1,101,1478.75,24.77
1,102,1486.74,24.81
1,103,1487.23,24.81
1,104,1527.48,24.98
1,105,1455.11,24.77
1,106,1455.49,24.77
1,107,1446.56,24.79
1,108,1455.86,24.87
1,109,1548.34,25.37
1,110,1544.37,25.36
1,111,1540.41,25.34
1,112,1657.59,25.6
1,113,1657.59,25.6
1,114,1657.59,25.6
1,115,1868.91,27.22
1,116,1868.91,27.22
1,117,1868.91,27.22
1,118,1868.91,27.22
1,119,1894.71,23.25
1,120,1394.95,24.85
1,121,1394.76,24.7
1,122,1381.74,24.64
1,123,1287.44,24.44
1,124,1284.31,24.37
1,125,1356.96,25.95
1,126,1385.91,26.2
1,127,1392.62,26.32
1,128,1512.98,25.39
1,129,1470.96,25.22
1,130,1453.09,25.14
1,131,1418.25,25.06
1,132,1439.11,25.32
1,133,1430.22,25.24
1,134,1421.02,24.58
1,135,1412.28,24.51
1,136,1403.57,24.43
1,137,1394.7,24.36
1,138,1456.7,24.39
1,139,1456.7,24.39
1,140,1456.7,24.39
1,141,1456.7,24.39
1,142,1461.37,24.7
1,143,1431.35,24.56
1,144,1417.73,24.48
1,145,1421.06,24.58
1,146,1430.49,24.66
1,147,1440.08,24.74
1,148,1470.26,24.82
1,149,1576.58,25.49
1,150,1566.26,25.45
1,151,1563.65,25.44
1,152,1657.59,25.6
1,153,1657.59,25.6
1,154,1657.59,25.6
1,155,1657.59,25.6
1,156,1868.91,27.22
1,157,1895.99,23.26
1,158,1895.99,23.26
1,159,1894.71,23.25
1,160,1389.96,24.83
1,161,1391.37,24.84
1,162,1359.98,24.55
1,163,1342.93,24.48
1,164,1281.12,24.29
1,165,1277.99,24.22
1,166,1380.83,26.18
1,167,1392.62,26.32
1,168,1295.48,24.19
1,169,1452.74,25.14
1,170,1435.14,25.07
1,171,1418.25,25.06
1,172,1414.92,25.05
1,173,1409.67,25.09
1,174,1412.32,24.51
1,175,1403.43,24.43
1,176,1394.55,24.36
1,177,1385.67,24.28
1,178,1443.35,24.33
1,179,1446.22,24.35
1,180,1449.08,24.36
1,181,1451.95,24.37
1,182,1450.84,24.66
1,183,1422.78,24.51
1,184,1405.44,24.45
1,185,1414.5,24.52
1,186,1443.52,24.71
1,187,1463.7,24.79
1,188,1480.16,24.86
1,189,1595.13,25.34
1,190,1590.31,25.55
1,191,1640.97,25.53
1,192,1657.59,25.6
1,193,1657.59,25.6
1,194,1657.59,25.6
1,195,1662.83,23.58
1,196,1671.15,23.61
1,197,1895.99,23.26
1,198,1895.99,23.26
1,199,1895.69,23.26
1,200,1371.52,24.75
1,201,1360.32,24.71
1,202,1341.26,24.47
1,203,1324.34,24.4
1,204,1296.7,24.25
1,205,1274.87,24.14
1,206,1369.29,26.19
1,207,1289.39,24.16
1,208,1295.48,24.19
1,209,1434.58,25.07
1,210,1417.23,24.99
1,211,1399.11,24.92
1,212,1393.64,24.95
