fid,longitude,latitude,lon_min,lon_max,lat_min,lat_max,result
168175,-0.458820084,5.572947994,-0.459320628,-0.45831954,5.572542875,5.573353112,0
100766,-0.034527793,5.674230995,-0.035028211,-0.034027375,5.673825849,5.67463614,0
185953,-0.210639978,5.541349072,-0.2111404,-0.210139557,5.540943962,5.541754182,0
137264,-0.104578318,5.621562992,-0.105078738,-0.104077899,5.62115786,5.621968123,0
124164,-0.254695776,5.640199153,-0.255196271,-0.254195282,5.639794016,5.640604289,0
204746,-0.517821421,5.499218184,-0.518321949,-0.517320893,5.498813085,5.499623283,0
120898,-0.092571635,5.645060798,-0.093072063,-0.092071208,5.64465566,5.645465935,0
166985,-0.238667109,5.575378707,-0.239167561,-0.238166657,5.574973588,5.575783826,0
123140,-0.130600613,5.641819699,-0.131101055,-0.130100172,5.641414562,5.642224836,0
127047,-0.221669436,5.636147794,-0.222169914,-0.221168958,5.635742658,5.636552929,0
97290,-0.270719321,5.679092749,-0.271219844,-0.270218799,5.678687602,5.679497896,0
192964,-0.379746581,5.526765174,-0.380247067,-0.379246096,5.526360067,5.52717028,0
117383,-0.187646178,5.649922458,-0.188146649,-0.187145707,5.649517319,5.650327597,0
103972,-0.118594846,5.669369256,-0.119095298,-0.118094394,5.668964112,5.6697744,0
96481,0.000500406,5.680713338,0,0.001000813,5.68030819,5.681118485,0
139718,-0.400798436,5.617511683,-0.401298981,-0.400297892,5.617106552,5.617916813,0
130026,-0.092570359,5.632096446,-0.09307078,-0.092069939,5.631691311,5.63250158,0
24421,0.010509905,5.801452112,0.010009429,0.011010382,5.801046932,5.801857292,0
145528,-0.180632952,5.609409097,-0.181133398,-0.180132507,5.609003969,5.609814225,0
171509,-0.424793818,5.567276345,-0.425294345,-0.424293291,5.566871227,5.567681461,0
125489,-0.069553344,5.638578608,-0.070053758,-0.06905293,5.638173472,5.638983744,0
176755,-0.328724298,5.558363796,-0.32922478,-0.328223818,5.557958681,5.55876891,0
94531,-0.319760438,5.683144223,-0.320260985,-0.319259892,5.682739075,5.683549371,0
87907,0.026521901,5.693678107,0.026021476,0.027022326,5.693272956,5.694083258,0
181224,-0.329722184,5.550261523,-0.330222661,-0.329221707,5.54985641,5.550666635,0
124323,-0.095573464,5.640199153,-0.09607389,-0.095073039,5.639794016,5.640604289,0
171743,-0.190631855,5.567276345,-0.191132282,-0.190131428,5.566871227,5.567681461,0
