,pop_grid_pop,geometry,pop_grid_id
71,,"POLYGON ((414027.97509013937 543180.2188417516, 414951.9641620936 543179.1534142619, 414950.9085453218 542257.9200511222, 414026.9080020067 542258.9836893565, 414027.97509013937 543180.2188417516))",71
72,,"POLYGON ((414951.9641620936 543179.1534142619, 415875.9514491864 543178.0995021206, 415874.90730366344 542256.8679088977, 414950.9085453218 542257.9200511222, 414951.9641620936 543179.1534142619))",72
73,,"POLYGON ((415875.9514491864 543178.0995021206, 416799.9369708124 543177.0571052162, 416798.9042964273 542255.8272625718, 415874.90730366344 542256.8679088977, 415875.9514491864 543178.0995021206))",73
74,,"POLYGON ((416799.9369708124 543177.0571052162, 417723.92074636556 543176.0262234377, 417722.8995430089 542254.7981120336, 416798.9042964273 542255.8272625718, 416799.9369708124 543177.0571052162))",74
75,,"POLYGON ((417723.92074636556 543176.0262234377, 418647.90279524424 543175.0068566761, 418646.8930628075 542253.7804571742, 417722.8995430089 542254.7981120336, 417723.92074636556 543176.0262234377))",75
76,,"POLYGON ((418647.90279524424 543175.0068566761, 419571.8831368421 543173.9990048228, 419570.8848752182 542252.7742978856, 418646.8930628075 542253.7804571742, 418647.90279524424 543175.0068566761))",76
77,,"POLYGON ((419571.8831368421 543173.9990048228, 420495.86179055437 543173.002667771, 420494.8749996373 542251.7796340608, 419570.8848752182 542252.7742978856, 419571.8831368421 543173.9990048228))",77
78,,"POLYGON ((420495.86179055437 543173.002667771, 421419.8387757729 543172.017845415, 421418.86345545796 542250.7964655943, 420494.8749996373 542251.7796340608, 420495.86179055437 543173.002667771))",78
79,,"POLYGON ((421419.8387757729 543172.017845415, 422343.8141118981 543171.0445376503, 422342.8502620819 542249.8247923818, 421418.86345545796 542250.7964655943, 421419.8387757729 543172.017845415))",79
80,,"POLYGON ((422343.8141118981 543171.0445376503, 423267.7878183217 543170.0827443736, 423266.83543890185 542248.8646143202, 422342.8502620819 542249.8247923818, 422343.8141118981 543171.0445376503))",80
81,,"POLYGON ((423267.7878183217 543170.0827443736, 424191.7599144367 543169.1324654827, 424190.81900531205 542247.9159313075, 423266.83543890185 542248.8646143202, 423267.7878183217 543170.0827443736))",81
82,,"POLYGON ((424191.7599144367 543169.1324654827, 425115.73041963996 543168.1937008769, 425114.8009807108 542246.9787432431, 424190.81900531205 542247.9159313075, 424191.7599144367 543169.1324654827))",82
83,,"POLYGON ((425115.73041963996 543168.1937008769, 426039.69935332413 543167.2664504565, 426038.78138449177 542246.0530500276, 425114.8009807108 542246.9787432431, 425115.73041963996 543168.1937008769))",83
84,,"POLYGON ((426039.69935332413 543167.2664504565, 426963.66673488176 543166.3507141231, 426962.76023604866 542245.1388515626, 426038.78138449177 542246.0530500276, 426039.69935332413 543167.2664504565))",84
85,,"POLYGON ((426963.66673488176 543166.3507141231, 427887.6325837092 543165.4464917795, 427886.7375547793 542244.2361477514, 426962.76023604866 542245.1388515626, 426963.66673488176 543166.3507141231))",85
86,,"POLYGON ((427887.6325837092 543165.4464917795, 428811.59691919864 543164.55378333, 428810.71336007694 542243.3449384976, 427886.7375547793 542244.2361477514, 427887.6325837092 543165.4464917795))",86
87,59.2674560546875,"POLYGON ((428811.59691919864 543164.55378333, 429735.55976074346 543163.6725886795, 429734.68767133617 542242.4652237073, 428810.71336007694 542243.3449384976, 428811.59691919864 543164.55378333))",87
