,pop_grid_pop,geometry,pop_grid_id
102,,"POLYGON ((-546706.3786434974 657922.0640085624, -545771.5236634291 657906.2110872219, -545787.3361185207 656972.6615575664, -546722.2057449435 656988.4923081729, -546706.3786434974 657922.0640085624))",102
103,,"POLYGON ((-545771.5236634291 657906.2110872219, -544836.6908738788 657890.3728420435, -544852.4886843427 656956.8454626205, -545787.3361185207 656972.6615575664, -545771.5236634291 657906.2110872219))",103
104,,"POLYGON ((-544836.6908738788 657890.3728420435, -543901.8802543193 657874.5492712981, -543917.66342188 656941.0440216088, -544852.4886843427 656956.8454626205, -544836.6908738788 657890.3728420435))",104
105,,"POLYGON ((-543901.8802543193 657874.5492712981, -542967.0917842247 657858.7403732584, -542982.8603106055 656925.2572328057, -543917.66342188 656941.0440216088, -543901.8802543193 657874.5492712981))",105
106,71.56442260742188,"POLYGON ((-542967.0917842247 657858.7403732584, -542032.3254430728 657842.9461461985, -542048.0793299943 656909.4850944885, -542982.8603106055 656925.2572328057, -542967.0917842247 657858.7403732584))",106
107,76.31891632080078,"POLYGON ((-542032.3254430728 657842.9461461985, -541097.5812103417 657827.1665883944, -541113.3204595234 656893.7276049351, -542048.0793299943 656909.4850944885, -542032.3254430728 657842.9461461985))",107
108,71.5302734375,"POLYGON ((-541097.5812103417 657827.1665883944, -540162.8590655129 657811.401698124, -540178.5836786734 656877.9847624255, -541113.3204595234 656893.7276049351, -541097.5812103417 657827.1665883944))",108
109,63.515892028808594,"POLYGON ((-540162.8590655129 657811.401698124, -539228.158988071 657795.6514736665, -539243.8689669261 656862.2565652417, -540178.5836786734 656877.9847624255, -540162.8590655129 657811.401698124))",109
110,,"POLYGON ((-539228.158988071 657795.6514736665, -538293.4809575011 657779.915913303, -538309.1763037656 656846.543011667, -539243.8689669261 656862.2565652417, -539228.158988071 657795.6514736665))",110
111,,"POLYGON ((-538293.4809575011 657779.915913303, -537358.8249532923 657764.1950153164, -537374.5056686794 656830.8440999865, -538309.1763037656 656846.543011667, -538293.4809575011 657779.915913303))",111
112,,"POLYGON ((-537358.8249532923 657764.1950153164, -536424.1909549357 657748.488777991, -536439.8570411557 656815.1598284871, -537374.5056686794 656830.8440999865, -537358.8249532923 657764.1950153164))",112
113,,"POLYGON ((-536424.1909549357 657748.488777991, -535489.5789419243 657732.7971996132, -535505.230400687 656799.4901954571, -536439.8570411557 656815.1598284871, -536424.1909549357 657748.488777991))",113
114,,"POLYGON ((-535489.5789419243 657732.7971996132, -534554.9888937536 657717.1202784707, -534570.6257267664 656783.8351991869, -535505.230400687 656799.4901954571, -535489.5789419243 657732.7971996132))",114
115,,"POLYGON ((-534554.9888937536 657717.1202784707, -533620.4207899215 657701.4580128532, -533636.0429988906 656768.1948379684, -534570.6257267664 656783.8351991869, -534554.9888937536 657717.1202784707))",115
116,,"POLYGON ((-533620.4207899215 657701.4580128532, -532685.8746099273 657685.8104010518, -532701.4821965573 656752.5691100952, -533636.0429988906 656768.1948379684, -533620.4207899215 657701.4580128532))",116
117,,"POLYGON ((-532685.8746099273 657685.8104010518, -531751.3503332749 657670.1774413597, -531766.9432992683 656736.9580138624, -532701.4821965573 656752.5691100952, -532685.8746099273 657685.8104010518))",117
118,,"POLYGON ((-531751.3503332749 657670.1774413597, -530816.8479394683 657654.5591320716, -530832.4262865261 656721.3615475673, -531766.9432992683 656736.9580138624, -531751.3503332749 657670.1774413597))",118
119,,"POLYGON ((-530816.8479394683 657654.5591320716, -529882.3674080148 657638.9554714835, -529897.9311378362 656705.7797095082, -530832.4262865261 656721.3615475673, -530816.8479394683 657654.5591320716))",119
120,,"POLYGON ((-529882.3674080148 657638.9554714835, -528947.9087184244 657623.3664578935, -528963.4578327067 656690.2124979858, -529897.9311378362 656705.7797095082, -529882.3674080148 657638.9554714835))",120
121,,"POLYGON ((-528947.9087184244 657623.3664578935, -528013.4718502078 657607.7920896017, -528029.0063506475 656674.6599113019, -528963.4578327067 656690.2124979858, -528947.9087184244 657623.3664578935))",121
122,,"POLYGON ((-528013.4718502078 657607.7920896017, -527079.0567828803 657592.2323649094, -527094.5766711707 656659.1219477606, -528029.0063506475 656674.6599113019, -528013.4718502078 657607.7920896017))",122
123,,"POLYGON ((-527079.0567828803 657592.2323649094, -526144.663495957 657576.6872821196, -526160.1687737914 656643.598605667, -527094.5766711707 656659.1219477606, -527079.0567828803 657592.2323649094))",123
124,,"POLYGON ((-526144.663495957 657576.6872821196, -525210.2919689574 657561.1568395371, -525225.7826380266 656628.0898833283, -526160.1687737914 656643.598605667, -526144.663495957 657576.6872821196))",124
125,,"POLYGON ((-525210.2919689574 657561.1568395371, -524275.9421814028 657545.6410354687, -524291.4182433955 656612.5957790535, -525225.7826380266 656628.0898833283, -525210.2919689574 657561.1568395371))",125
126,,"POLYGON ((-524275.9421814028 657545.6410354687, -523341.6141128163 657530.1398682223, -523357.07556942 656597.1162911529, -524291.4182433955 656612.5957790535, -524275.9421814028 657545.6410354687))",126
127,,"POLYGON ((-523341.6141128163 657530.1398682223, -522407.3077427229 657514.653336108, -522422.7545956237 656581.6514179386, -523357.07556942 656597.1162911529, -523341.6141128163 657530.1398682223))",127
128,,"POLYGON ((-522407.3077427229 657514.653336108, -521473.0230506513 657499.1814374373, -521488.4553015331 656566.2011577248, -522422.7545956237 656581.6514179386, -522407.3077427229 657514.653336108))",128
129,,"POLYGON ((-521473.0230506513 657499.1814374373, -520538.76001613156 657483.7241705235, -520554.17766667635 656550.7655088269, -521488.4553015331 656566.2011577248, -521473.0230506513 657499.1814374373))",129
130,50.84931945800781,"POLYGON ((-520538.76001613156 657483.7241705235, -519604.5186186958 657468.2815336814, -519619.92167058506 656535.3444695623, -520554.17766667635 656550.7655088269, -520538.76001613156 657483.7241705235))",130
131,87.5044174194336,"POLYGON ((-519604.5186186958 657468.2815336814, -518670.29883787944 657452.853525228, -518685.6872927919 656519.9380382498, -519619.92167058506 656535.3444695623, -519604.5186186958 657468.2815336814))",131
132,134.67103576660156,"POLYGON ((-518670.29883787944 657452.853525228, -517736.1006532194 657437.4401434815, -517751.474512832 656504.5462132101, -518685.6872927919 656519.9380382498, -518670.29883787944 657452.853525228))",132
133,75.21586608886719,"POLYGON ((-517736.1006532194 657437.4401434815, -516801.9240442553 657422.0413867617, -516817.28331024374 656489.1689927655, -517751.474512832 656504.5462132101, -517736.1006532194 657437.4401434815))",133
134,45.31290817260742,"POLYGON ((-516801.9240442553 657422.0413867617, -515867.7689905283 657406.6572533906, -515883.1136645668 656473.8063752399, -516817.28331024374 656489.1689927655, -516801.9240442553 657422.0413867617))",134
135,49.25848388671875,"POLYGON ((-515867.7689905283 657406.6572533906, -514933.6354715822 657391.2877416916, -514948.9655553432 656458.4583589592, -515883.1136645668 656473.8063752399, -515867.7689905283 657406.6572533906))",135
136,,"POLYGON ((-514933.6354715822 657391.2877416916, -513999.523466964 657375.9328499897, -514014.83896211814 656443.1249422505, -514948.9655553432 656458.4583589592, -514933.6354715822 657391.2877416916))",136
137,,"POLYGON ((-513999.523466964 657375.9328499897, -513065.4329562222 657360.5925766116, -513080.7338644378 656427.8061234432, -514014.83896211814 656443.1249422505, -513999.523466964 657375.9328499897))",137
138,,"POLYGON ((-513065.4329562222 657360.5925766116, -512131.36391890736 657345.266919886, -512146.6502418519 656412.5019008677, -513080.7338644378 656427.8061234432, -513065.4329562222 657360.5925766116))",138
139,,"POLYGON ((-512131.36391890736 657345.266919886, -511197.3163345724 657329.9558781428, -511212.5880739114 656397.2122728567, -512146.6502418519 656412.5019008677, -512131.36391890736 657345.266919886))",139
140,,"POLYGON ((-511197.3163345724 657329.9558781428, -510263.2901827728 657314.659449714, -510278.5473401706 656381.9372377442, -511212.5880739114 656397.2122728567, -511197.3163345724 657329.9558781428))",140
